=== PocketFlow Diagnostics Report ===
Generated: 2026-04-19 00:27:21.818502
Privacy Mode: Detailed (Included Transactions)

App Version: 1.0.0 (1)
Platform: android T1SAS33.73-40-2-17
Connectivity: [ConnectivityResult.wifi]

=== PocketFlow Diagnostics ===
Exported: 2026-04-19T00:27:21.818504
Type: Full Technical Logs

Total entries: 500

--- Summary ---
Errors: 6
Warnings: 0

--- USERACTION (2) ---
2026-04-19T00:26:08 INFO    [userAction]   send_diagnostics | Diagnostics report shared
2026-04-19T00:27:07 INFO    [userAction]   send_diagnostics | Diagnostics report shared

--- DATABASE (474) ---
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | income $9577.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:04 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $22022.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Phone
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $5530.15 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $17.43 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $282022.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $19.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3137.0 Salary
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Groceries
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $7330.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | income $3221.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $8423.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $3281.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $84.0 Other
2026-04-19T00:22:05 DEBUG   [database]     insertTransaction | expense $2602.0 Other
